event_id,environment_id,event_type,x,y,segment_a_id,segment_b_id,shape_a_id,shape_b_id,t_a,t_b,residual,residual_unity_world_units,same_shape,source_anomaly_involved,navigability_status,refinement_method,status,review_notes
env38_intersection_event_0001,38,endpoint_endpoint,150.509354,212.02124,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855546755831596,env38_shape_4330855546755831596,1.0,0.0,1.7288250917028504e-13,1.7288250917028504e-13,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0002,38,endpoint_endpoint,264.1401,113.43824,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855546755831596,env38_shape_4330855546755831596,0.0,1.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0003,38,interior_interior_crossing,262.28172874781603,113.51550704592258,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547524397474_segment_0006,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.00903740298493366,0.6711893188403144,2.8563464471519893e-13,2.8563464471519893e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0004,38,interior_interior_crossing,213.26339857793653,122.85624279248208,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.2822276724981634,0.04177815504215107,5.859285502108464e-14,5.859285502108464e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0005,38,interior_interior_crossing,160.78771136749288,171.92163064013758,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.7609057098826607,0.9991786748402769,5.115907697472721e-13,5.115907697472721e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0006,38,endpoint_endpoint,258.637146,309.5465,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855546755831596,env38_shape_4330855546755831596,1.0,1.0,9.322493994667965e-12,9.322493994667965e-12,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0007,38,interior_interior_crossing,154.78392562977393,232.21235664385358,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.10999804792059287,0.7650728748756577,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0008,38,interior_interior_crossing,168.96919807238766,265.55446186019265,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0029,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.3298226033878795,0.9888983595642107,1.1718571004216928e-13,1.1718571004216928e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0009,38,interior_interior_crossing,248.30246447944654,309.18429640574766,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547524397474_segment_0009,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.943067496404673,0.4169901081714532,2.842170943040401e-14,2.842170943040401e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0010,38,endpoint_endpoint,366.43692,211.2648,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855546755831596,env38_shape_4330855546755831596,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0011,38,interior_interior_crossing,329.3805004360571,285.51197827003364,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.5426699514470353,0.028877699793655603,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0012,38,interior_interior_crossing,355.00051617586644,253.097946,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0019,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.26048636424099986,0.9344544301852327,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0013,38,interior_interior_crossing,338.47904442174206,146.69220044016896,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547456548042_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.46451197204983347,0.9779691793913801,1.4210854715202004e-13,1.4210854715202004e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0014,38,interior_interior_crossing,337.36935592496917,145.52792445146434,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547524397474_segment_0016,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.47588062802373104,0.9571461249386873,1.1718571004216928e-13,1.1718571004216928e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0015,38,interior_interior_crossing,358.3434473403574,178.83361715343153,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547529842337_segment_0022,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.20389803406285978,0.28215709718633747,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0016,38,endpoint_endpoint,390.1316,117.607666,env38_shape_4330855547456548042_segment_0001,env38_shape_4330855547456548042_segment_0002,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0017,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0001,env38_shape_4330855547456548042_segment_0004,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0018,38,endpoint_endpoint,390.1316,117.607666,env38_shape_4330855547456548042_segment_0001,env38_shape_4330855547456548042_segment_0005,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0019,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0001,env38_shape_4330855547456548042_segment_0015,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,2.0187418223349325e-12,2.0187418223349325e-12,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0020,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0001,env38_shape_4330855547456548042_segment_0017,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0021,38,endpoint_endpoint,401.683319,-40.3689346,env38_shape_4330855547456548042_segment_0002,env38_shape_4330855547456548042_segment_0003,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0022,38,endpoint_endpoint,390.1316,117.607666,env38_shape_4330855547456548042_segment_0002,env38_shape_4330855547456548042_segment_0005,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0023,38,interior_interior_crossing,401.64647077602166,-60.79657475509278,env38_shape_4330855547456548042_segment_0003,env38_shape_4330855547524397474_segment_0004,env38_shape_4330855547456548042,env38_shape_4330855547524397474,0.1701361817771314,0.2933940937045062,5.329070518200751e-13,5.329070518200751e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0024,38,interior_interior_crossing,401.5709053488886,-101.76914227088939,env38_shape_4330855547456548042_segment_0003,env38_shape_4330855547829185599_segment_0002,env38_shape_4330855547456548042,env38_shape_4330855547829185599,0.511390465538625,0.4198933253669791,9.919176591210999e-12,9.919176591210999e-12,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0025,38,interior_interior_crossing,392.95239142952437,322.37812335077535,env38_shape_4330855547456548042_segment_0004,env38_shape_4330855547456548042_segment_0014,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.6115275099451765,0.9729946844302919,4.149958897060965e-12,4.149958897060965e-12,True,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0026,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0004,env38_shape_4330855547456548042_segment_0015,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0027,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0004,env38_shape_4330855547456548042_segment_0017,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0028,38,endpoint_endpoint,361.345245,126.575935,env38_shape_4330855547456548042_segment_0005,env38_shape_4330855547456548042_segment_0006,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,6.845576845970062e-12,6.845576845970062e-12,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0029,38,endpoint_endpoint,348.001526,143.165344,env38_shape_4330855547456548042_segment_0006,env38_shape_4330855547456548042_segment_0007,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,2.842170943040401e-14,2.842170943040401e-14,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0030,38,endpoint_endpoint,338.264374,146.771729,env38_shape_4330855547456548042_segment_0007,env38_shape_4330855547456548042_segment_0008,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,1.3406493525361333e-12,1.3406493525361333e-12,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0031,38,endpoint_endpoint,338.264374,176.704773,env38_shape_4330855547456548042_segment_0008,env38_shape_4330855547456548042_segment_0009,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0032,38,endpoint_endpoint,319.106323,215.684967,env38_shape_4330855547456548042_segment_0009,env38_shape_4330855547456548042_segment_0010,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0033,38,interior_interior_crossing,323.70095974290234,206.33780031083853,env38_shape_4330855547456548042_segment_0009,env38_shape_4330855547529842337_segment_0018,env38_shape_4330855547456548042,env38_shape_4330855547529842337,0.7602234053865686,0.6584132857987873,7.958078640513122e-13,7.958078640513122e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0034,38,endpoint_endpoint,320.647644,255.546143,env38_shape_4330855547456548042_segment_0010,env38_shape_4330855547456548042_segment_0011,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0035,38,interior_interior_crossing,320.0465358530566,239.99453478985754,env38_shape_4330855547456548042_segment_0010,env38_shape_4330855547456548042_segment_0020,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.6098759827719019,0.654686123237503,1.7053025658242404e-12,1.7053025658242404e-12,True,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0036,38,endpoint_endpoint,328.613617,284.7548,env38_shape_4330855547456548042_segment_0011,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,5.684341886080802e-14,5.684341886080802e-14,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0037,38,endpoint_endpoint,328.613617,284.7548,env38_shape_4330855547456548042_segment_0011,env38_shape_4330855547456548042_segment_0027,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0038,38,endpoint_endpoint,355.167,310.9762,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855547456548042_segment_0013,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0039,38,endpoint_endpoint,328.613617,284.7548,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855547456548042_segment_0027,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0040,38,endpoint_endpoint,379.065,314.626526,env38_shape_4330855547456548042_segment_0013,env38_shape_4330855547456548042_segment_0014,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0041,38,endpoint_endpoint,418.24173,246.982239,env38_shape_4330855547456548042_segment_0015,env38_shape_4330855547456548042_segment_0016,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0042,38,endpoint_endpoint,390.801544,251.882431,env38_shape_4330855547456548042_segment_0015,env38_shape_4330855547456548042_segment_0017,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0043,38,endpoint_endpoint,382.9608,252.127426,env38_shape_4330855547456548042_segment_0017,env38_shape_4330855547456548042_segment_0018,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0044,38,endpoint_endpoint,369.8082,253.097946,env38_shape_4330855547456548042_segment_0018,env38_shape_4330855547456548042_segment_0019,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0045,38,endpoint_endpoint,353.9619,253.097946,env38_shape_4330855547456548042_segment_0019,env38_shape_4330855547456548042_segment_0020,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,0.0,0.0,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0046,38,endpoint_endpoint,301.928284,228.827286,env38_shape_4330855547456548042_segment_0020,env38_shape_4330855547456548042_segment_0021,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,5.684341886080802e-14,5.684341886080802e-14,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0047,38,endpoint_endpoint,277.478943,223.209656,env38_shape_4330855547456548042_segment_0021,env38_shape_4330855547456548042_segment_0022,env38_shape_4330855547456548042,env38_shape_4330855547456548042,1.0,0.0,4.5607563579243344e-11,4.5607563579243344e-11,True,False,authored_endpoint_connection,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
